"행정구역(시군구)별",2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"금정구",2327,2685,-358,845,889,948,593,892,2292,2539,-247,776,891,802,625,961,2340,2591,-251,764,890,921,686,906
"강서구",2045,1073,972,215,1142,424,688,434,1700,1053,647,185,844,406,671,462,1663,1081,582,161,845,464,657,456
"연제구",2582,2707,-125,796,1314,1318,472,593,2041,2178,-137,543,1067,1042,431,593,2691,2425,266,699,1442,1104,550,622
"수영구",2613,2440,173,716,1294,1103,603,621,2251,2326,-75,729,1019,978,503,619,2242,2320,-78,656,1057,1055,529,609
"사상구",2040,2446,-406,678,871,1007,491,761,2539,2620,-81,932,1105,956,502,732,2234,2384,-150,779,990,937,465,668
"기장군",1553,1447,106,274,722,515,557,658,1338,1344,-6,211,615,495,512,638,1461,1276,185,180,806,518,475,578
"대구광역시",23786,24772,-986,8468,8957,8957,6361,7347,22260,22875,-615,7694,8546,8546,6020,6635,23072,23807,-735,8622,8499,8499,5951,6686
"중  구",866,996,-130,167,437,549,262,280,797,951,-154,136,411,577,250,238,825,1018,-193,137,440,616,248,265
"동  구",3194,3333,-139,1103,1070,1071,1021,1159,3169,3245,-76,1142,1035,1123,992,980,3034,3042,-8,1025,1042,1012,967,1005
"서  구",1716,2189,-473,674,708,1024,334,491,1675,2046,-371,619,700,991,356,436,1714,2087,-373,656,699,961,359,470
"남  구",1854,2017,-163,576,836,969,442,472,1816,1789,27,504,896,854,416,431,1716,1807,-91,521,793,877,402,409
"북  구",3588,3805,-217,1389,1156,1154,1043,1262,3895,3910,-15,1579,1278,1176,1038,1155,4605,4523,82,2180,1352,1149,1073,1194
"수성구",3918,4554,-636,1750,1091,1345,1077,1459,3429,3898,-469,1362,981,1205,1086,1331,4021,4510,-489,1802,1145,1323,1074,1385
"달서구",4980,5916,-936,2077,1663,2244,1240,1595,4460,5196,-736,1744,1575,2003,1141,1449,4367,5137,-770,1751,1514,1967,1102,1419
"달성군",3670,1962,1708,732,1996,601,942,629,3019,1840,1179,608,1670,617,741,615,2790,1683,1107,550,1514,594,726,539
"인천광역시",34524,34365,159,13098,9566,9566,11860,11701,31915,31714,201,11618,9118,9118,11179,10978,34014,33887,127,13144,9927,9927,10943,10816
"중  구",1619,1538,81,345,503,570,771,623,1651,1321,330,270,563,521,818,530,1489,1325,164,250,485,526,754,549
"동  구",611,714,-103,199,286,334,126,181,617,684,-67,174,326,380,117,130,498,624,-126,135,267,359,96,130
"남  구",5797,5394,403,2190,1999,1698,1608,1506,5251,4759,492,1981,1869,1538,1401,1240,5369,5130,239,2052,1959,1728,1358,1350
"연수구",3876,3644,232,1387,1132,1036,1357,1221,3422,3363,59,1183,1003,1023,1236,1157,3255,3320,-65,1076,972,1134,1207,1110
"남동구",6281,6092,189,2459,1992,1784,1830,1849,5855,5717,138,2222,1850,1619,1783,1876,7565,6278,1287,2897,2676,1690,1992,1691
"부평구",6241,6642,-401,2555,1298,1736,2388,2351,5655,6431,-776,2222,1191,1894,2242,2315,5634,6994,-1360,2473,1182,2257,1979,2264
"계양구",3284,3757,-473,1431,727,1028,1126,1298,3097,3462,-365,1312,742,902,1043,1248,4040,4281,-241,2082,894,935,1064,1264
"서구",5890,5815,75,2360,1386,1216,2144,2239,5538,5338,200,2119,1354,1108,2065,2111,5276,5213,63,2041,1269,1118,1966,2054
"강화군",603,523,80,167,148,99,288,257,556,446,110,135,127,80,294,231,579,503,76,130,127,108,322,265
"옹진군",322,246,76,5,95,65,222,176,273,193,80,0,93,53,180,140,309,219,90,8,96,72,205,139
"광주광역시",16438,16948,-510,5963,5351,5351,5124,5634,15601,16034,-433,5889,4923,4923,4789,5222,15040,15356,-316,5600,4795,4795,4645,4961
"동  구",1265,1296,-31,280,600,611,385,405,1174,1245,-71,275,553,638,346,332,1047,1105,-58,260,448,488,339,357
"서  구",3649,3745,-96,1223,1244,1236,1182,1286,3193,3387,-194,1086,1103,1168,1004,1133,3168,3392,-224,1046,1046,1248,1076,1098
"남  구",2337,2362,-25,750,926,860,661,752,2169,2324,-155,695,798,797,676,832,2357,2368,-11,754,946,834,657,780
"북  구",5159,5264,-105,2179,1541,1411,1439,1674,4633,4864,-231,1969,1276,1400,1388,1495,4414,4549,-135,1899,1216,1262,1299,1388
"광산구",4028,4281,-253,1531,1040,1233,1457,1517,4432,4214,218,1864,1193,920,1375,1430,4054,3942,112,1641,1139,963,1274,1338
"대전광역시",18652,20854,-2202,5985,6618,6618,6049,8251,16847,18585,-1738,5536,5725,5725,5586,7324,15462,16382,-920,4823,4949,4949,5690,6610
"동  구",2472,3119,-647,767,897,1302,808,1050,2335,2804,-469,781,789,1032,765,991,2094,2233,-139,606,756,799,732,828
"중  구",2637,3261,-624,872,984,1269,781,1120,2448,2762,-314,786,942,1107,720,869,2231,2493,-262,682,813,918,736,893
"서  구",5730,6782,-1052,2142,1624,2038,1964,2602,4982,5865,-883,1767,1413,1808,1802,2290,4815,5345,-530,1614,1295,1623,1906,2108
"유성구",5961,5019,942,1593,2461,914,1907,2512,5324,4662,662,1507,2045,746,1772,2409,4557,3922,635,1124,1618,760,1815,2038
"대덕구",1852,2673,-821,611,652,1095,589,967,1758,2492,-734,695,536,1032,527,765,1765,2389,-624,797,467,849,501,743
"울산광역시",10572,11593,-1021,3796,3610,3610,3166,4187,10225,11014,-789,3669,3519,3519,3037,3826,9807,10770,-963,3538,3422,3422,2847,3810
"중구",2108,2374,-266,816,794,844,498,714,2056,2321,-265,777,828,909,451,635,2293,2430,-137,914,910,851,469,665
"남구",3110,3680,-570,1329,900,1206,881,1145,3004,3399,-395,1276,946,1063,782,1060,2921,3364,-443,1235,919,1036,767,1093
"동구",1577,2119,-542,730,339,584,508,805,1444,1973,-529,663,299,502,482,808,1484,1792,-308,674,328,423,482,695
"북구",2021,1655,366,511,995,489,515,655,1938,1609,329,532,837,539,569,538,1571,1540,31,374,714,580,483,586
"울주군",1756,1765,-9,410,582,487,764,868,1783,1712,71,421,609,506,753,785,1538,1644,-106,341,551,532,646,771
"세종특별자치시",9434,4624,4810,3000,0,0,6434,1624,7819,4085,3734,2479,0,0,5340,1606,6492,3679,2813,1782,0,0,4710,1897
"세종특별자치시",9434,4624,4810,3000,0,0,6434,1624,7819,4085,3734,2479,0,0,5340,1606,6492,3679,2813,1782,0,0,4710,1897
"경기도",147097,139991,7106,59695,38742,38742,48660,41554,138178,132131,6047,55106,37243,37243,45829,39782,141537,133528,8009,55419,39176,39176,46942,38933
"수원시",14116,13746,370,6692,3850,3952,3574,3102,13409,12854,555,6220,3836,3798,3353,2836,13386,13239,147,6212,3772,4118,3402,2909
"성남시",12310,12959,-649,6030,2528,3476,3752,3453,11290,12101,-811,5568,2364,3445,3358,3088,12072,12819,-747,5712,2479,3792,3881,3315
"의정부시",5296,5446,-150,2636,963,1291,1697,1519,4664,4856,-192,2259,887,1183,1518,1414,5612,5714,-102,2836,1171,1513,1605,1365
