"행정구역(시군구)별",2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 05,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 06,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07,2017. 07
"행정구역(시군구)별",총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명),총전입 (명),총전출 (명),순이동 (명),시도내이동-시군구내 (명),시도내이동-시군구간 전입 (명),시도내이동-시군구간 전출 (명),시도간전입 (명),시도간전출 (명)
"임실군",187,287,-100,30,92,173,65,84,197,221,-24,24,108,126,65,71,213,238,-25,25,104,133,84,80
"순창군",173,210,-37,34,39,58,100,118,223,239,-16,59,57,65,107,115,195,238,-43,54,40,66,101,118
"고창군",434,524,-90,80,92,128,262,316,374,438,-64,90,81,102,203,246,400,460,-60,105,79,115,216,240
"부안군",415,460,-45,120,129,171,166,169,467,480,-13,152,150,146,165,182,424,382,42,104,146,134,174,144
"전라남도",17433,17614,-181,6708,3648,3648,7077,7258,16008,16439,-431,6434,3266,3266,6308,6739,16888,17077,-189,7320,3262,3262,6306,6495
"목포시",2532,2877,-345,1354,598,713,580,810,2323,2735,-412,1344,512,650,467,741,2290,2449,-159,1187,558,612,545,650
"여수시",2621,2753,-132,1624,301,325,696,804,2651,2849,-198,1778,254,293,619,778,3567,3728,-161,2763,261,275,543,690
"순천시",3158,3088,70,1745,638,541,775,802,2426,2470,-44,1332,518,421,576,717,2552,2521,31,1374,567,437,611,710
"나주시",1756,1193,563,488,188,108,1080,597,1803,1296,507,577,173,109,1053,610,1591,1081,510,450,164,93,977,538
"여천시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"광양시",1231,1394,-163,380,328,419,523,595,1106,1189,-83,364,288,341,454,484,1101,1246,-145,365,259,346,477,535
"담양군",412,333,79,57,51,29,304,247,485,431,54,103,68,37,314,291,403,443,-40,72,55,56,276,315
"곡성군",224,226,-2,41,22,39,161,146,177,209,-32,35,21,25,121,149,211,219,-8,46,26,36,139,137
"구례군",216,177,39,38,43,45,135,94,239,211,28,61,65,43,113,107,256,232,24,72,63,45,121,115
"여천군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"고흥군",417,387,30,88,111,105,218,194,367,351,16,80,84,93,203,178,317,339,-22,60,62,89,195,190
"보성군",308,308,0,67,81,83,160,158,284,303,-19,63,78,81,143,159,284,281,3,52,83,75,149,154
"화순군",483,491,-8,87,54,70,342,334,440,470,-30,49,54,72,337,349,416,461,-45,68,56,54,292,339
"장흥군",285,315,-30,85,52,44,148,186,302,267,35,62,61,58,179,147,238,264,-26,64,46,49,128,151
"강진군",250,296,-46,59,52,65,139,172,218,263,-45,46,52,62,120,155,215,271,-56,71,53,49,91,151
"해남군",462,534,-72,98,127,136,237,300,369,457,-88,92,72,120,205,245,381,456,-75,89,79,135,213,232
"영암군",427,523,-96,82,136,201,209,240,459,490,-31,76,213,165,170,249,439,488,-49,73,157,160,209,255
"무안군",879,760,119,119,506,329,254,312,742,694,48,95,400,324,247,275,831,772,59,145,408,335,278,292
"함평군",272,276,-4,51,48,45,173,180,213,225,-12,29,53,40,131,156,219,254,-35,32,46,48,141,174
"영광군",369,408,-39,86,41,53,242,269,355,404,-49,87,46,48,222,269,343,355,-12,98,44,47,201,210
"장성군",421,461,-40,67,42,37,312,357,354,361,-7,53,35,35,266,273,424,375,49,52,30,48,342,275
"완도군",287,332,-45,47,56,74,184,211,262,292,-30,40,55,72,167,180,305,304,1,80,56,55,169,169
"진도군",180,186,-6,31,42,42,107,113,187,214,-27,52,48,65,87,97,203,224,-21,72,40,45,91,107
"신안군",243,296,-53,14,131,145,98,137,246,258,-12,16,116,112,114,130,302,314,-12,35,149,173,118,106
"경상북도",22006,22831,-825,9727,3506,3506,8773,9598,21740,22436,-696,9978,3425,3425,8337,9033,24410,25062,-652,12186,3982,3982,8242,8894
"포항시",4230,4575,-345,2667,389,370,1174,1538,3874,4086,-212,2357,388,379,1129,1350,3717,4039,-322,2237,363,400,1117,1402
"경주시",2066,2111,-45,993,243,277,830,841,1921,1974,-53,858,234,252,829,864,3279,3175,104,2149,273,246,857,780
"김천시",1286,1231,55,555,217,172,514,504,1425,1389,36,726,241,221,458,442,1318,1347,-29,646,243,215,429,486
"안동시",1381,1454,-73,717,215,201,449,536,1290,1414,-124,710,196,221,384,483,1612,2089,-477,998,213,573,401,518
"구미시",3589,3838,-249,1800,624,628,1165,1410,4396,4328,68,2463,725,565,1208,1300,5106,5085,21,3115,871,573,1120,1397
"영주시",876,846,30,468,121,91,287,287,831,827,4,449,99,114,283,264,789,864,-75,446,87,134,256,284
"영천시",1104,1121,-17,495,197,215,412,411,886,855,31,377,156,166,353,312,800,779,21,289,140,167,371,323
"상주시",707,774,-67,308,127,136,272,330,705,688,17,270,125,137,310,281,901,909,-8,474,149,161,278,274
"문경시",553,637,-84,263,83,113,207,261,550,564,-14,233,103,91,214,240,544,637,-93,247,102,131,195,259
"경산시",2469,2448,21,881,345,306,1243,1261,2234,2457,-223,887,284,247,1063,1323,2110,2245,-135,822,219,254,1069,1169
"군위군",165,177,-12,20,25,39,120,118,162,185,-23,20,28,54,114,111,161,195,-34,14,48,52,99,129
"의성군",285,259,26,31,91,88,163,140,219,257,-38,40,45,59,134,158,303,303,0,40,72,85,191,178
"청송군",160,135,25,23,48,42,89,70,159,146,13,20,52,54,87,72,131,143,-12,18,27,55,86,70
"영양군",89,83,6,5,26,32,58,46,67,78,-11,8,21,22,38,48,82,94,-12,18,25,26,39,50
"영덕군",210,247,-37,59,67,79,84,109,194,273,-79,38,66,89,90,146,209,230,-21,49,72,76,88,105
"청도군",319,301,18,50,55,51,214,200,312,344,-32,71,40,51,201,222,348,298,50,91,45,32,212,175
"고령군",222,243,-21,21,20,20,181,202,231,259,-28,30,18,33,183,196,184,208,-24,14,19,22,151,172
"성주군",301,343,-42,44,51,65,206,234,421,343,78,55,56,43,310,245,309,335,-26,59,42,50,208,226
"칠곡군",1012,1024,-12,137,340,350,535,537,869,1046,-177,133,320,408,416,505,821,1073,-252,137,302,508,382,428
"예천군",295,281,14,53,89,75,153,153,246,266,-20,46,75,89,125,131,955,337,618,142,548,69,265,126
"봉화군",219,221,-2,38,48,67,133,116,189,188,1,40,51,52,98,96,212,171,41,36,33,51,143,84
"울진군",343,374,-31,86,53,60,204,228,390,366,24,130,51,49,209,187,387,392,-5,128,61,62,198,202
"울릉군",125,108,17,13,32,29,80,66,169,103,66,17,51,29,101,57,132,114,18,17,28,40,87,57
"경상남도",36716,36277,439,19619,6196,6196,10901,10462,35099,34485,614,18660,5781,5781,10658,10044,32708,31780,928,16460,5616,5616,10632,9704
"창원시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"창원시",12464,13156,-692,8763,1530,1707,2171,2686,10614,11854,-1240,7426,1296,1893,1892,2535,9535,10566,-1031,6416,1199,1643,1920,2507
"울산시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"마산시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"진주시",3349,3354,-5,1956,728,628,665,770,3471,3367,104,2111,643,572,717,684,3124,3175,-51,1832,632,598,660,745
"진해시",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"통영시",1206,1455,-249,718,226,314,262,423,1188,1306,-118,669,218,254,301,383,987,1117,-130,504,224,262,259,351
"사천시",1091,1201,-110,546,280,319,265,336,1048,1097,-49,497,305,320,246,280,1027,951,76,465,262,235,300,251
"김해시",5076,5051,25,2351,1100,1008,1625,1692,6356,5667,689,3325,1361,780,1670,1562,5647,5394,253,2997,1119,854,1531,1543
"밀양시",970,900,70,325,220,208,425,367,884,945,-61,387,154,178,343,380,908,883,25,362,204,198,342,323
"거제시",3784,3896,-112,2441,414,319,929,1136,2721,3160,-439,1597,290,356,834,1207,2563,2966,-403,1439,347,368,777,1159
"양산시",5226,3418,1808,1761,437,242,3028,1415,5549,3668,1881,1999,333,236,3217,1433,5631,3326,2305,1757,395,217,3479,1352
"의령군",195,194,1,33,94,98,68,63,135,194,-59,12,63,114,60,68,193,202,-9,49,78,81,66,72
"함안군",551,642,-91,124,316,356,111,162,518,556,-38,111,267,274,140,171,481,544,-63,109,263,273,109,162
"창녕군",605,582,23,125,184,196,296,261,616,566,50,126,204,151,286,289,571,546,25,138,182,180,251,228
"양산군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"고성군",341,385,-44,81,155,156,105,148,337,347,-10,71,170,130,96,146,314,325,-11,50,146,156,118,119
"남해군",285,298,-13,65,57,98,163,135,281,278,3,64,73,83,144,131,258,250,8,48,88,66,122,136
"하동군",425,481,-56,66,158,176,201,239,310,354,-44,39,108,130,163,185,321,427,-106,51,124,162,146,214
"산청군",286,317,-31,71,116,149,99,97,296,276,20,46,121,123,129,107,277,242,35,54,125,119,98,69
"함양군",249,268,-19,58,63,90,128,120,249,233,16,50,66,71,133,112,287,242,45,59,92,69,136,114
"거창군",338,354,-16,73,68,56,197,225,285,334,-49,73,66,67,146,194,281,303,-22,61,68,62,152,180
"합천군",275,325,-50,62,50,76,163,187,241,283,-42,57,43,49,141,177,303,321,-18,69,68,73,166,179
"제주특별자치도",7951,6666,1285,3932,713,713,3306,2021,7041,6197,844,3407,700,700,2934,2090,7418,5845,1573,3306,654,654,3458,1885
"제주시",5461,4722,739,3003,359,354,2099,1365,4816,4293,523,2611,359,341,1846,1341,5119,4238,881,2644,334,320,2141,1274
"서귀포시",2490,1944,546,929,354,359,1207,656,2225,1904,321,796,341,359,1088,749,2299,1607,692,662,320,334,1317,611
"북제주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"남제주군",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
